name,dE_f,dE_p,log(abs(dE_f)),log(abs(dE_p))
p[7][MM],0.00000001000000009999482305820484708238782080888356,-0.00000000117587090714962920037418407054505815264873,-7.99999999565728003468254025953854124963982030749321,-8.92964035461189017429950443016650751815177500247955
p[7][GapM],-0.00000002649095325817856656047712674617168973102699,-0.00000000165568460176580675635359028183862718971704,-7.57690241364244292544133374533998903643805533647537,-8.78102239023134392877090181883659170125611126422882
p[7][MX],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[7][XX],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[7][MY],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[7][YY],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[8][MM],0.00000001000000009999482305820484708238782080888356,-0.00000000117587090714962920037418407054505815264873,-7.99999999565728003468254025953854124963982030749321,-8.92964035461189017429950443016650751815177500247955
p[8][GapM],-0.00000002649095325817856656047712674617168973102699,-0.00000000165568460176580675635359028183862718971704,-7.57690241364244292544133374533998903643805533647537,-8.78102239023134392877090181883659170125611126422882
p[8][MX],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
p[8][XX],0.00000001490116113833650419156156042579074172405029,0.00000000093132251910432723266838469425418691599594,-7.82677988888138412293393741947511443868279457092285,-9.03089989580540497375593655959846728364937007427216
p[8][MY],-0.00000002526212483658863857589336821477158338952393,0.00000001111766323432849093586143288355052007802641,-7.59753012306037806824696168028765441704308614134789,-7.95398648533324979532227461120896805368829518556595
