name,ld,float,posit,log_ld,log_float,log_posit
p[1][MM],0.99999999000000000000517794140897365195996826514602,1.00000000000000000000000000000000000000000000000000,0.99999998882412910461425781250000000000000000000000,-0.00000000434294484074499376498190830825169336099328,0.00000000000000000000000000000000000000000000000000,-0.00000000485361908745089220881693117634713434589439
p[1][GapM],0.90000000000000002220446049250313080847263336181641,0.89999997615814208984375000000000000000000000000000,0.89999999850988388061523437500000000000000000000000,-0.04575749056067511469499901194391000558425730559975,-0.04575750206555008746693233301350289821129990741611,-0.04575749127972980160878723604467310792642820160836
p[1][MX],0.00010000000000000000001437838427964174825568477445,0.00009999999747378751635551452636718750000000000000,0.00010000000111176632344722747802734375000000000000,-4.00000000000000000000000000000000000000000000000000,-4.00000001097120155618344639059102973988046869635582,-3.99999999517166023249928330507430018769809976220131
p[1][XX],0.10000000000000000555111512312578270211815834045410,0.10000000149011611938476562500000000000000000000000,0.10000000009313225746154785156250000000000000000000,-0.99999999999999997593071177082180156503454782068729,-0.99999999352850796780238160077480813470174325630069,-0.99999999959553174521276891484333759763103444129229
p[1][MY],0.00010000000000000000001437838427964174825568477445,0.00009999999747378751635551452636718750000000000000,0.00010000000111176632344722747802734375000000000000,-4.00000000000000000000000000000000000000000000000000,-4.00000001097120155618344639059102973988046869635582,-3.99999999517166023249928330507430018769809976220131
p[1][YY],0.10000000000000000555111512312578270211815834045410,0.10000000149011611938476562500000000000000000000000,0.10000000009313225746154785156250000000000000000000,-0.99999999999999997593071177082180156503454782068729,-0.99999999352850796780238160077480813470174325630069,-0.99999999959553174521276891484333759763103444129229
Y[0][0],1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,30.10299956639811952245622261870039437781088054180145,30.10299956639811952245622261870039437781088054180145,30.10299956639811952245622261870039437781088054180145
Y[0][1],1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,1267650600228229401496703205376.00000000000000000000000000000000000000000000000000,30.10299956639811952245622261870039437781088054180145,30.10299956639811952245622261870039437781088054180145,30.10299956639811952245622261870039437781088054180145
X[1][0],0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,-inf,-inf,-inf
_rs,65.00000000000000000000000000000000000000000000000000,65.00000000000000000000000000000000000000000000000000,65.00000000000000000000000000000000000000000000000000,1.81291335664285557403505033668977830529911443591118,1.81291335664285557403505033668977830529911443591118,1.81291335664285557403505033668977830529911443591118
_hap,65.00000000000000000000000000000000000000000000000000,65.00000000000000000000000000000000000000000000000000,65.00000000000000000000000000000000000000000000000000,1.81291335664285557403505033668977830529911443591118,1.81291335664285557403505033668977830529911443591118,1.81291335664285557403505033668977830529911443591118
score_base,32.00000000000000000000000000000000000000000000000000,32.00000000000000000000000000000000000000000000000000,32.00000000000000000000000000000000000000000000000000,1.50514997831990597610112708748530963021039497107267,1.50514997831990597610112708748530963021039497107267,1.50514997831990597610112708748530963021039497107267
distm[1][1],0.00063095734448019324939517933322277731811311696219,0.00063095736550167202949523925781250000000000000000,0.00063095735094975680112838745117187500000000000000,-3.20000000000000000004336808689942017736029811203480,-3.19999998553069844842676461293962120180367492139339,-3.19999999554693235451381660983116717034135945141315
distm_after[1][1],0.99936904265551980674478146915440390785079216584563,0.99936902523040771484375000000000000000000000000000,0.99936904385685920715332031250000000000000000000000,-0.00027410777727826286483415488498625173230394125312,-0.00027411534968622331615870776834638367080998477832,-0.00027410725521379027476207200183545842353538546377
M[1][1],1140165690094602635470983659520.00000000000000000000000000000000000000000000000000,1140165670214544185222089408512.00000000000000000000000000000000000000000000000000,1109194275199700726309615304704.00000000000000000000000000000000000000000000000000,30.05696796806016614540812970091110400971956551074982,30.05696796048775817390696918351977728889323770999908,30.04500761942043276717106969897486123954877257347107
X[1][1],0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,-inf,-inf,-inf
Y[1][1],0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,0.00000000000000000000000000000000000000000000000000,-inf,-inf,-inf
result,1140165690094602635470983659520.00000000000000000000000000000000000000000000000000,1140165670214544185222089408512.00000000000000000000000000000000000000000000000000,1109194275199700726309615304704.00000000000000000000000000000000000000000000000000,30.05696796806016614540812970091110400971956551074982,30.05696796048775817390696918351977728889323770999908,30.04500761942043276717106969897486123954877257347107
