Q,da_f,da_p2,da_p3
1,7.92006463153773169164662789082690075439732763261960,9.69933139916972686836630760142944605441803944905614,9.69933139916972686836630760142944605441803944905614
2,7.84928094267831408953140573296485478730532236060094,8.90792766178896997256860278267419602587807689152354,8.90792766178896997256860278267419602587807689152354
3,7.61023537009673481745620373250809883470664228272347,8.88912085591063398156789030451612177487084265617998,8.88912085591063398156789030451612177487084265617998
4,9.25878885413246328617640304125867963364654441668985,9.25878885413246328617640304125867963364654441668985,9.25878885413246328617640304125867963364654441668985
5,8.53473050076505629106509369646206128080010525898565,9.44230503766751483765092159328355467388939140811243,8.65818462228575619323734813331031604599091600158667
6,7.89741711455189953086140316482954495112174330030915,9.66276494056105431511498830930161946998877591208491,9.66276494056105431511498830930161946998877591208491
7,8.06404402221458586316000959482861545440790936860564,9.28371460937501880117558333403211115346712623340955,9.28371460937501880117558333403211115346712623340955
8,8.15666062856088280775513711523197080342169042664093,9.16471816791170618057692207166409539895745580876140,8.72870065842710676408040574302091877570130274194860
9,7.66099115442874385514965694448386676333232402208038,9.17921043709548485411313146244763798739426523119949,8.59330488883959531415976950564214165517457231823388
10,8.18899557919872030656354306393177869828935278516527,9.39311555882113319472443809008596972046780185981092,8.79105556648200016555122316043114921309155848722157
11,8.41187073230807092158315044415030430080068628231789,8.91427271755981515538766967624593608412861762755923,8.91427271755981515538766967624593608412861762755923
12,8.19623808160869588124606717341900951320137957583305,10.33795411040655622234832740952548925594728392786338,10.33795411040655622234832740952548925594728392786338
13,7.93473914302097837577643332686178878585230252039675,9.31529846695849010318251555116828685404092313963665,9.31529846695849010318251555116828685404092313963665
14,9.25878885413246328617640304125867963364654441668985,9.25878885413246328617640304125867963364654441668985,9.25878885413246328617640304125867963364654441668985
15,7.63108317701574490178981102506441293707562560173354,8.65818462228575619323734813331031604599091600158667,8.65818462228575619323734813331031604599091600158667
16,7.88275772827062348145132739892775930766063499116713,8.99033825156982092043283769166976076597438701150541,8.99033825156982092043283769166976076597438701150541
17,9.28371460937501880117558333403211115346712623340955,9.28371460937501880117558333403211115346712623340955,9.28371460937501880117558333403211115346712623340955
18,7.62612194965754821458312020320081906889728984649123,8.72870065842710676408040574302091877570130274194860,8.72870065842710676408040574302091877570130274194860
19,7.98714961030964265308104191962747988121091634758506,8.75753101131099132555049789577458574430234403445699,8.75753101131099132555049789577458574430234403445699
20,8.01290431205367393882092214478793806519585243419200,9.39311555882113319472443809008596972046780185981092,9.39311555882113319472443809008596972046780185981092
21,7.61543971286272327629245349068990520935580735517971,8.91427271755981515538766967624593608412861762755923,8.91427271755981515538766967624593608412861762755923
22,8.19001532610022748520393369227930282474654208020370,8.80780266049470900043236211488764563311896341694861,8.80780266049470900043236211488764563311896341694861
23,8.34496332427103463310293164642379567684175554029209,9.27989397576940556989833133439633884961228777020981,9.27989397576940556989833133439633884961228777020981
24,7.70402647340366702529663253694214431807581800124770,9.14333311816449113694893981697475532224888768335922,9.14333311816449113694893981697475532224888768335922
25,8.37692871292843507228054327483245115675605167989176,8.42070504343149287100734560922172602056058690263034,8.42070504343149287100734560922172602056058690263034
26,8.52243794067936030815038474229337474403981834651448,8.52243794067936030815038474229337474403981834651448,8.52243794067936030815038474229337474403981834651448
27,7.70440881738272653982840078790163346290737939175875,8.25272837554430542196350408624791334922226025477083,8.25272837554430542196350408624791334922226025477083
28,8.34559348455585829103687439260678592858345016570277,8.46058758946891682105217425174680995924142194962856,8.46058758946891682105217425174680995924142194962856
29,8.64429979928588887522492631153675810153206263082335,8.64429979928588887522492631153675810153206263082335,8.64429979928588887522492631153675810153206263082335
30,7.68554539283490300053439962652483003114042672644487,8.33241771593959490684882226277682937980460950712206,8.33241771593959490684882226277682937980460950712206
31,8.28846965091685962631530438897855391497616032726186,8.55137716618422065657337209524009552110733161326644,8.55137716618422065657337209524009552110733161326644
32,7.83955243222329899962206308796371977368493319273131,8.35134070755008934756266336547860641077573518964705,8.35134070755008934756266336547860641077573518964705
33,8.25423741998513903696454541243827391585196957154092,8.25423741998513903696454541243827391585196957154092,8.25423741998513903696454541243827391585196957154092
34,8.15065664559152896079718788352910483061007197029002,9.06119578557208871208981044412026521794127163437930,9.06119578557208871208981044412026521794127163437930
35,7.91391489928756885519867178194709302721740163288616,8.65762125530047448362048770164483103269392864455911,8.65762125530047448362048770164483103269392864455911
36,8.52243794067936030815038474229337474403981834651448,8.52243794067936030815038474229337474403981834651448,8.52243794067936030815038474229337474403981834651448
37,8.14987784010933421682293007454496845703699062288319,8.14987784010933421682293007454496845703699062288319,9.07723357879506496968264151077236428816600602463574
38,8.46058758946891682105217425174680995924142194962856,8.46058758946891682105217425174680995924142194962856,8.46058758946891682105217425174680995924142194962856
39,7.65075487397294732465540618104700473900171851671322,8.56039730626213071420475221880467364278302501901664,8.56039730626213071420475221880467364278302501901664
40,7.95974580627671237600114641382482915631758729619345,8.31620217644126619652079186356124588406703147760516,8.51265926180477744655008495485021248520749737050149
41,8.28846965091685962631530438897855391497616032726186,8.28846965091685962631530438897855391497616032726186,8.31889411619990413373125473918147162111985572814793
42,7.83955243222329899962206308796371977368493319273131,7.97587227410281524526463996111138911460331767514479,8.71018612580839744716247261479965756324854961579032
43,8.15237309765719513465776201884292988743877792981447,8.15237309765719513465776201884292988743877792981447,9.07562875185386273247792807724537188178110525099449
44,7.77616076374119330728004466636595539276172450048206,8.50862478010935193562307494548717176797683594053493,8.50862478010935193562307494548717176797683594053493
45,7.74994035091896578583646074889023375791532989723764,8.14290696715694976285771337911875052965404182501455,8.27616660180658613299455225405629348673346937965983
46,8.01878073022656052645724302416125082513211088086552,8.21126600884588839488741231690177204571391415596788,8.76589126769116625283231545998370278787126880863086
47,7.77795667784783498461975324487004123880492344208883,8.50554133425656064923842915074559474804542397559270,8.50554133425656064923842915074559474804542397559270
48,7.63077756947165064499706517420226683661310881442840,8.81766014851243586103739240056254027699955208527108,8.81766014851243586103739240056254027699955208527108
49,8.04446997456077291830635472942828809319843679545712,8.04446997456077291830635472942828809319843679545712,8.17647321410551585409302564863341275316187527559183
50,7.95974580627671237600114641382482915631758729619345,7.95974580627671237600114641382482915631758729619345,8.05659329125428317733376903602376536520185541355475
51,7.82125493259189064518915871444483291824619100992100,7.82125493259189064518915871444483291824619100992100,8.01005586871525168563840848635742841821571157599660
52,8.08570152369086717383666215452165906635091617270196,8.08570152369086717383666215452165906635091617270196,8.12835641457079163483530185532609866733458812122989
53,8.15237309765719513465776201884292988743877792981447,8.15237309765719513465776201884292988743877792981447,8.15237309765719513465776201884292988743877792981447
54,7.88533031214543617448941309018225094549671101265870,7.88533031214543617448941309018225094549671101265870,7.92876630207161438539562561352093403559955720880818
55,8.14290696715694976285771337911875052965404182501455,8.14290696715694976285771337911875052965404182501455,8.14290696715694976285771337911875052965404182501455
56,7.85354976397945669866439246960307215221219936458400,7.85354976397945669866439246960307215221219936458400,8.24829138806081285484117644507190997437370853769423
57,7.63981368287517970293758564046035313087765192934413,7.63981368287517970293758564046035313087765192934413,8.73828641479609359587923414681339228787037212371729
58,8.81766014851243586103739240056254027699955208527108,8.81766014851243586103739240056254027699955208527108,8.81766014851243586103739240056254027699955208527108
59,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968
60,8.95999605292764963461655704187167978749917390828989,8.95999605292764963461655704187167978749917390828989,8.95999605292764963461655704187167978749917390828989
61,8.57505106861593707585899733825095932122936571439714,8.57505106861593707585899733825095932122936571439714,8.57505106861593707585899733825095932122936571439714
62,9.41569981616202223433854571627194143382591788981247,7.41181859409379641981973849467179477253092113936932,9.41569981616202223433854571627194143382591788981247
63,8.55122533881298821405109079027013600545179777374874,7.33305015438853893897884756825912177269875965494304,8.55122533881298821405109079027013600545179777374874
64,8.25326005694030196634863115122255627967771960833478,7.59475885830341297735788818453746469980707727420394,8.25326005694030196634863115122255627967771960833478
65,7.82383122330335706187445987379885114531592908117551,7.61923622753740154986075362753194125579042873381988,8.34544437749903642702690020137738512193650712726800
66,7.81040959542889792252331010467968537710472038912404,7.47280380827401750122800827908553482213311635316406,8.04113056786860465416543349791578472069455320692173
67,7.97692023521975748269482615837015566447877179723157,7.97692023521975748269482615837015566447877179723157,8.30802870898679238651353223096257681701292314943116
68,7.85218245314911234913696687361858628759441867185740,7.85218245314911234913696687361858628759441867185740,8.26633620865811278821022588906854562556112458167761
69,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968
70,8.29454618868008303348940862934913817044205925390594,7.58866196861808634263350966999123684617211523552407,8.29454618868008303348940862934913817044205925390594
71,8.57505106861593707585899733825095932122936571439714,8.57505106861593707585899733825095932122936571439714,8.57505106861593707585899733825095932122936571439714
72,8.02698737985510790493673773562515526456543330010396,7.40329423103347487378155348584525481157343758079207,8.02698737985510790493673773562515526456543330010396
73,7.82031626033566482683931882109735257098599372380625,7.33305015438853893897884756825912177269875965494304,7.82031626033566482683931882109735257098599372380625
74,7.87508325789952252473283353945608932995235511214160,7.59475885830341297735788818453746469980707727420394,7.87508325789952252473283353945608932995235511214160
75,7.82383122330335706187445987379885114531592908117551,7.82383122330335706187445987379885114531592908117551,7.82383122330335706187445987379885114531592908117551
76,7.81704670628852137253091272260321624812372859373298,7.81040959542889792252331010467968537710472038912404,7.81704670628852137253091272260321624812372859373298
77,7.97692023521975748269482615837015566447877179723157,7.97692023521975748269482615837015566447877179723157,7.97692023521975748269482615837015566447877179723157
78,7.62360990521789526267841908522605853422118049202134,7.60404145005673180691735286143954265696457657944179,7.62360990521789526267841908522605853422118049202134
79,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968
80,8.57849279426972056938226342832644545778687030815873,7.44449824277182926785893218974498080801108861759665,8.57849279426972056938226342832644545778687030815873
81,8.15170502844305196814168804813746637908071543539211,7.38185838334849422902427043715103908221290279347103,8.15170502844305196814168804813746637908071543539211
82,8.02698737985510790493673773562515526456543330010396,8.02698737985510790493673773562515526456543330010396,8.02698737985510790493673773562515526456543330010396
83,8.12911353027632245656591278003167136688795919868304,7.33809292752715266147405248614296251019710795156416,8.12911353027632245656591278003167136688795919868304
84,7.63786106279195741140545467739099481787054961527261,7.59475885830341297735788818453746469980707727420394,7.63786106279195741140545467739099481787054961527261
85,7.82383122330335706187445987379885114531592908117551,7.82383122330335706187445987379885114531592908117551,7.82383122330335706187445987379885114531592908117551
86,8.10815867771199430047510847712530616432786468474477,6.96909170834728987234586954497670563490217142850848,8.10815867771199430047510847712530616432786468474477
87,7.73393982070622841705103678799097407009989223141744,7.17533038351162357452451141907189151614512026279330,7.73393982070622841705103678799097407009989223141744
88,8.17830875436557113102871362592839576604468716190052,7.62360990521789526267841908522605853422118049202134,8.17830875436557113102871362592839576604468716190052
89,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968,8.92703086409699303017278585738755111652842700604968
90,7.91070661706324510700330079133772723951565976916203,7.44449824277182926785893218974498080801108861759665,7.91070661706324510700330079133772723951565976916203
91,7.95239313878916336744345323809805813716142385938597,7.38185838334849422902427043715103908221290279347103,7.95239313878916336744345323809805813716142385938597
92,8.75554328420410834064052224832827827164808444138906,6.94741777261952026136985494464510763264280684046139,8.75554328420410834064052224832827827164808444138906
93,7.66891614344140657893622787924477643088363306598184,6.91054197656110914754404650816756873249485083761700,7.66891614344140657893622787924477643088363306598184
94,7.87574253979131768618902734619862051724680322470226,7.13153503565267736456263368059653375518572949149591,7.87574253979131768618902734619862051724680322470226
95,9.61140387380954577501869683530644628762634368403494,7.11923150763335224187209640024603214413103088027632,9.61140387380954577501869683530644628762634368403494
96,7.75962315415971788903295546211214581770320636900708,7.51434788792630084806950898653856023688884768950319,7.75962315415971788903295546211214581770320636900708
97,8.24315710422915745135256704152945010135230499503201,6.89777254172226016265274273177618747493007073806893,8.24315710422915745135256704152945010135230499503201
98,9.01192953870877624475018754709557940889921123054570,6.57321289084285848564916717804663239852354039051104,7.43115099122560939073017371025496695675746731106759
99,7.74552792498977159477145480953858032202875199421431,6.51539562204823192997603742538262394993309836525330,7.74552792498977159477145480953858032202875199421431
100,8.23668784470082592278872393778434239225836173399824,7.44449824277182926785893218974498080801108861759665,7.61373686979407081974363161706557271144580009872586
